playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Zeka,9.5945,209.3303,0,0,-204,0,438
Clozer,9.1025,467.2346,0,0,204,0,-438
Zeka,9.7681,475.8841,0,1,-134,0,-544
Clozer,9.942,470.6667,2,0,134,0,544
Faker,8.0878,467.6668,0,0,43,0,39
FATE,7.8997,357.0175,0,0,-43,0,-39
FATE,8.0478,501.8327,2,1,37,0,326
Faker,7.1315,725.0996,0,1,-37,0,-326
Bdd,7.3293,618.2257,0,1,401,1,576
Karis,7.4965,523.9758,0,2,-401,0,-576
Karis,7.6341,541.257,1,1,944,0,432
Bdd,7.9714,594.8799,0,1,-944,0,-432
Bdd,6.6205,540.9695,1,1,-385,0,233
Karis,7.6454,555.7341,1,0,385,0,-233
Aria,7.3598,276.9159,0,0,-853,0,-677
ShowMaker,10.7477,343.9953,0,0,853,0,677
Aria,8.2345,375.5586,1,1,-1172,0,-967
ShowMaker,8.6483,735.6,2,1,1172,0,967
Zeka,9.2126,523.3633,0,0,364,0,-34
Chovy,10.6299,654.4994,0,0,-364,0,34
Chovy,8.8689,921.9794,1,1,27,0,418
Zeka,7.5578,650.3599,1,0,-27,1,-418
Lava,7.1262,358.014,1,0,272,0,20
Faker,8.9019,270.4206,0,1,-272,0,-20
Faker,8.5559,799.7896,1,0,-618,0,802
Lava,9.5573,333.5486,0,0,618,0,-802
Lava,10.3016,539.5416,0,0,557,0,50
Faker,6.6104,428.1303,0,0,-557,0,-50
Reeker,8.2243,259.9688,2,0,966,1,1743
Perkz,7.9439,275.7944,0,3,-966,0,-1743
Larssen,7.7221,500.2296,0,0,514,0,43
Sertuss,7.577,350.6828,0,0,-514,0,-43
nukeduck,6.9984,574.2038,1,0,1003,0,257
caPs,7.3567,561.2818,1,1,-1003,0,-257
Dajor,7.1864,502.9233,1,1,-138,1,-185
Vetheo,10.0122,199.6102,1,1,138,0,185
Humanoid,7.5683,541.036,0,1,-469,0,401
NUCLEARINT,7.6835,486.0432,0,0,469,0,-401
Takeover,8.9906,217.3166,0,1,-618,1,-946
Abbedagge,10.8339,580.5517,0,0,618,0,946
Fudge,9.1775,930.6782,0,0,862,1,-45
ry0ma,9.2063,1030.0433,0,1,-862,0,45
toucouille,8.2009,711.3203,1,1,743,0,427
Takeover,8.3006,627.7752,0,1,-743,1,-427
Abbedagge,9.0182,476.3563,0,1,-41,0,274
ry0ma,7.9555,475.5061,0,0,41,0,-274
Fudge,9.1577,715.7282,1,0,764,0,392
toucouille,9.1857,718.4086,1,1,-764,0,-392
Bdd,8.4222,845.7454,0,0,116,0,-280
Clozer,9.1404,336.4309,1,0,-116,1,280
Bdd,8.8776,481.2628,2,1,906,1,1412
Clozer,8.4184,393.7883,0,2,-906,0,-1412
FATE,7.8371,231.3764,0,1,-299,0,-28
Aria,7.9775,434.7191,0,0,299,1,28
FATE,8.3101,743.1008,0,1,-795,0,-489
Aria,8.3101,320.3721,2,0,795,0,489
Larssen,8.078,490.2439,0,2,48,0,-1175
Vetheo,7.4049,468.7317,2,0,-48,1,1175
nukeduck,9.4751,900.6673,0,0,-172,0,-103
NUCLEARINT,8.8612,768.7633,0,0,172,0,103
Sertuss,8.345,844.4458,2,1,392,0,619
Reeker,6.8691,412.9669,0,1,-392,0,-619
caPs,7.4531,335.9653,2,1,-789,1,679
Dajor,7.973,452.4988,1,1,789,0,-679
Perkz,7.5705,510.2227,1,1,-916,0,-5
Humanoid,8.3424,654.092,1,1,916,0,5
Blue,8.9823,221.1687,0,1,-293,0,-1000
Bjergsen,9.1399,462.1142,2,0,293,1,1000
Palafox,9.1707,410.5415,2,2,-988,0,-504
PowerOfEvil,7.8547,388.2522,3,1,988,0,504
Bjergsen,9.0281,759.3819,0,0,787,0,115
jojopyun,8.8329,743.9366,0,0,-787,0,-115
PowerOfEvil,7.5528,350.9947,0,1,-336,0,-331
Blue,7.8169,580.6954,2,0,336,0,331
Palafox,6.4449,509.605,1,1,1162,0,-158
jojopyun,7.526,864.2827,0,2,-1162,0,158
Lava,10.8337,870.2812,0,0,551,0,362
Karis,8.6137,257.997,0,0,-551,0,-362
Karis,9.0194,532.2505,2,0,955,1,814
Lava,8.4492,415.568,0,1,-955,0,-814
