playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Faker,8.2372,244.9753,0,0,-547,0,-1194
Larssen,9.7784,607.4316,0,0,92,0,415
Bdd,9.2981,506.9848,0,0,-239,0,-511
Larssen,7.6521,576.3714,0,0,1516,0,1586
ShowMaker,9.1304,181.5217,0,0,28,0,-1362
Ophelia,9.0312,701.6013,0,0,564,0,-447
Vetheo,10.2965,910.9122,1,0,-323,0,-299
Bdd,9.2997,500.4764,0,0,-391,0,-1058
ShowMaker,8.058,194.9855,0,0,-884,0,-522
Lava,9.1355,565.198,0,0,299,0,-273
Bjergsen,8.4724,384.5455,1,1,-198,0,158
Lava,8.2251,421.4425,0,1,-41,1,-517
Palafox,7.9238,489.6583,0,0,337,0,-230
nukeduck,7.2331,325.7562,1,0,990,0,793
Clozer,8.5327,423.9799,0,0,378,0,-56
Clozer,8.5668,797.7221,0,3,-463,0,-718
nukeduck,7.263,468.6242,1,0,-1190,0,322
Humanoid,11.127,494.0471,0,0,1190,0,134
nukeduck,6.7082,332.1247,0,2,-896,0,-1698
Fudge,9.0724,248.7294,2,2,164,0,-228
Humanoid,8.669,372.6833,0,2,282,0,-506
toucouille,8.4916,431.1173,1,1,-1265,0,-192
VicLa,8.7944,487.6301,2,1,396,1,561
ShowMaker,8.2707,345.6624,0,0,-191,0,-619
Zeka,11.3561,599.8479,0,0,84,1,11
Aria,8.0651,341.1573,1,0,141,0,205
toucouille,10.0739,738.4055,0,0,-235,0,280
Fudge,8.9376,455.7167,0,1,101,0,-684
PowerOfEvil,9.9243,1018.0865,0,0,90,0,-866
Larssen,8.1392,728.6719,0,1,-398,0,-717
Chovy,9.7654,538.3578,0,1,1428,0,-962
nukeduck,8.4093,1139.4841,1,1,347,0,-387
Palafox,9.3935,480.8398,0,1,43,0,83
Karis,9.1512,328.1698,1,0,555,1,432
Aria,8.6026,263.813,0,1,-123,0,-284
Chovy,10,847.6336,3,0,583,1,1519
Clozer,9.6987,399.2468,1,1,-1434,1,-131
jojopyun,7.6578,484.3177,0,1,-1376,0,-1785
jojopyun,9.1833,384.2315,0,0,7,0,-66
Karis,8.5998,815.5899,1,0,532,0,426
caPs,8.7017,448.4224,0,1,75,0,-74
Reeker,7.2429,460.5961,0,0,80,0,-853
Abbedagge,7.4646,684.8703,1,0,341,1,548
Karis,6.9599,352.0125,0,0,-81,0,9
Clozer,8.7867,873.0305,0,0,166,0,-192
Aria,7.6815,378.7354,0,0,-620,1,-421
Bdd,7.17,567.3246,3,1,173,0,1200
caPs,8.9723,1136.7047,3,0,46,1,1632
Palafox,9.8976,547.5768,0,1,126,0,-202
Chovy,10.2508,892.9863,0,0,-570,0,72
Dajor,9.4236,317.0386,1,0,-485,1,-37
Bjergsen,9.7844,722.4876,0,0,157,0,-18
Faker,8.4236,642.8867,2,1,378,0,301
ShowMaker,9.9204,641.4819,0,0,-803,0,-369
Bdd,8.177,149.2389,0,0,-920,1,-884
PowerOfEvil,8.9152,509.1124,0,0,585,0,-115
Zeka,8.6541,457.6151,1,0,-10,0,519
Sertuss,9.7245,381.6856,0,1,-222,0,-786
jojopyun,8.0346,374.3521,1,0,439,0,274
nukeduck,8.968,671.6726,1,0,-334,0,-656
Lava,9.8953,587.6814,0,0,1018,1,715
FATE,10.2804,600.9346,0,0,592,0,-107
Faker,7.5926,507.2531,1,2,-668,0,399
Vetheo,6.7891,228.3174,0,2,-1681,0,-1744
Bjergsen,8.4585,767.9051,1,0,-93,0,291
Karis,7.9563,416.1502,0,0,632,1,872
ShowMaker,9.5671,418.389,1,1,482,1,1045
